observation_date,A191RO1Q156NBEA
2010-01-01,1.7
2010-04-01,2.9
2010-07-01,3.3
2010-10-01,2.8
2011-01-01,2.0
2011-04-01,1.7
2011-07-01,0.9
2011-10-01,1.5
2012-01-01,2.6
2012-04-01,2.4
2012-07-01,2.6
2012-10-01,1.6
2013-01-01,1.7
2013-04-01,1.5
2013-07-01,2.2
2013-10-01,3.0
2014-01-01,1.7
2014-04-01,2.7
2014-07-01,3.1
2014-10-01,2.7
2015-01-01,4.0
2015-04-01,3.3
2015-07-01,2.4
2015-10-01,2.1
2016-01-01,1.8
2016-04-01,1.5
2016-07-01,1.8
2016-10-01,2.2
2017-01-01,2.1
2017-04-01,2.3
2017-07-01,2.4
2017-10-01,3.0
2018-01-01,3.3
2018-04-01,3.3
2018-07-01,3.1
2018-10-01,2.1
2019-01-01,1.9
2019-04-01,2.2
2019-07-01,2.8
2019-10-01,3.4
2020-01-01,1.3
2020-04-01,-7.5
2020-07-01,-1.4
2020-10-01,-1.0
2021-01-01,1.8
2021-04-01,12.2
2021-07-01,5.0
2021-10-01,5.7
2022-01-01,4.0
2022-04-01,2.5
2022-07-01,2.3
2022-10-01,1.3
2023-01-01,2.3
2023-04-01,2.8
2023-07-01,3.2
2023-10-01,3.2
2024-01-01,2.9
2024-04-01,3.0
2024-07-01,2.7
2024-10-01,2.5
